
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000089                       # Number of seconds simulated (Second)
system.cpu.numStoreInsts                         2405                       # Number of stores executed (Count)
system.cpu.numRate                           1.585547                       # Inst execution rate ((Count/Cycle))
system.cpu.timesIdled                             399                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu.idleCycles                           48872                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu.committedInsts                       84913                       # Number of Instructions Simulated (Count)
system.cpu.committedOps                        164074                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu.cpi                               2.103376                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu.totalCpi                          2.103376                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu.ipc                               0.475426                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu.totalIpc                          0.475426                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu.intRegfileReads                     281835                       # Number of integer regfile reads (Count)
system.cpu.intRegfileWrites                    219341                       # Number of integer regfile writes (Count)
system.cpu.fpRegfileReads                        1560                       # Number of floating regfile reads (Count)
system.cpu.fpRegfileWrites                        773                       # Number of floating regfile writes (Count)
system.cpu.ccRegfileReads                      152466                       # number of cc regfile reads (Count)
system.cpu.ccRegfileWrites                     148136                       # number of cc regfile writes (Count)
system.cpu.miscRegfileReads                     71973                       # number of misc regfile reads (Count)
system.cpu.MemDepUnit__0.insertedLoads           3537                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.insertedStores          2809                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__0.conflictingLoads           26                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__0.conflictingStores           31                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__1.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                   79502                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted             78109                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              5801                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups                41582                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBUpdates                 5636                       # Number of BTB updates (Count)
system.cpu.branchPred.BTBHits                   41114                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.988745                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     339                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             355                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 10                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              345                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          115                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts          183048                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.branchMispredicts              5619                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples       102627                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     1.598741                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     2.361305                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0           61525     59.95%     59.95% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1            6844      6.67%     66.62% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2            1112      1.08%     67.70% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3           16207     15.79%     83.49% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4             666      0.65%     84.14% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5             303      0.30%     84.44% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           10187      9.93%     94.37% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7            5180      5.05%     99.41% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8             603      0.59%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total       102627                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted                84913                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted                 164074                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                        3748                       # Number of memory references committed (Count)
system.cpu.commit.loads                          1861                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                      22009                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                       1224                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                      163239                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   174                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          225      0.14%      0.14% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu       159514     97.22%     97.36% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult           10      0.01%     97.36% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           35      0.02%     97.39% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          146      0.09%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAdd            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAddAcc            0      0.00%     97.47% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAlu          104      0.06%     97.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCmp            0      0.00%     97.54% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdCvt           54      0.03%     97.57% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMisc          238      0.15%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMult            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdMultAcc            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShift            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShiftAcc            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdDiv            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSqrt            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAdd            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatAlu            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCmp            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatCvt            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatDiv            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMisc            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMult            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAdd            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceAlu            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdReduceCmp            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAes            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdAesMix            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma2            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdShaSigma3            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::SimdPredAlu            0      0.00%     97.72% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemRead         1807      1.10%     98.82% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::MemWrite         1408      0.86%     99.68% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMemRead           54      0.03%     99.71% # Class of committed instruction (Count)
